Date,Year,Quarter,Month,Company,Industry,Region,Revenue,COGS,Operating Expenses,Gross Profit,Tax,Net Profit,Current Assets,Fixed Assets,Total Assets,Current Liabilities,Long-term Debt,Total Liabilities,Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow
31-01-2024,2024,Q1,January,Zenith Inc,Retail,West,985319,560363,165507,424956,51889,207560,363603,684509,1048112,243878,237242,481120,566992,195890,-91680,73432,177642
24-05-2024,2024,Q2,May,Zenith Inc,Finance,South,876487,558865,92965,317622,44931,179726,357781,518092,875873,143223,160568,303791,572082,167219,-67371,14274,114122
31-07-2024,2024,Q3,July,Alpha Corp,Retail,East,808249,549632,103173,258617,31088,124356,463048,502997,966045,54944,235074,290018,676027,126349,-74365,43727,95711
07-02-2025,2025,Q1,February,Alpha Corp,Finance,West,183939,84247,34363,99692,13065,52264,333248,752605,1085853,112069,192117,304186,781667,43345,-74331,78703,47717
06-10-2025,2025,Q4,October,Alpha Corp,Finance,West,908918,408702,143449,500216,71353,285414,475540,872358,1347898,124796,258746,383542,964356,285539,-85582,56851,256808
02-09-2025,2025,Q3,September,Nova Ltd,Healthcare,South,572170,390661,59107,181509,24480,97922,315329,473685,789014,141978,201645,343623,445391,91935,-46231,54888,100592
04-07-2025,2025,Q3,July,Nova Ltd,Retail,North,244637,125166,26371,119471,18620,74480,476965,487156,964121,169886,183933,353819,610302,59121,-86825,44361,16657
28-11-2025,2025,Q4,November,Zenith Inc,Healthcare,North,902465,563773,97720,338692,48194,192778,259341,293389,552730,205178,58295,263473,289257,208771,-84381,12663,137053
15-07-2024,2024,Q3,July,Prime Pvt,Retail,South,798988,434769,125677,364219,47708,190834,459040,379425,838465,152870,216786,369656,468809,202847,-27153,27911,203605
21-04-2025,2025,Q2,April,Vertex Ltd,Healthcare,North,318490,160951,47498,157539,22008,88033,160571,202016,362587,61494,170511,232005,130582,87795,-43207,47686,92274
30-09-2024,2024,Q3,September,Nova Ltd,Healthcare,South,156881,68339,23283,88542,13051,52208,498960,739580,1238540,195110,164319,359429,879111,32547,-77444,-9757,-54654
25-02-2024,2024,Q1,February,Nova Ltd,Healthcare,West,628242,258965,95381,369277,54779,219117,304147,315277,619424,99073,200297,299370,320054,230291,-57235,51642,224698
11-05-2024,2024,Q2,May,Prime Pvt,Retail,West,107624,61669,14583,45955,6274,25098,113727,465788,579515,107776,203165,310941,268574,44446,-99240,-19211,-74005
09-07-2025,2025,Q3,July,Prime Pvt,Finance,South,601754,358457,64225,243297,35814,143258,477795,444281,922076,142070,143489,285559,636517,152003,-61369,-22762,67872
08-12-2025,2025,Q4,December,Nova Ltd,Healthcare,East,448659,310322,74900,138337,12687,50750,177334,354917,532251,195409,120365,315774,216477,60990,-90461,-35367,-64838
10-02-2025,2025,Q1,February,Alpha Corp,IT,North,823989,418786,110105,405203,59019,236079,257045,247028,504073,143176,250900,394076,109997,251433,-88658,-13410,149365
30-11-2025,2025,Q4,November,Alpha Corp,Healthcare,South,370847,159791,66538,211056,28903,115615,279899,421505,701404,111938,153996,265934,435470,131086,-83238,31268,79116
26-11-2024,2024,Q4,November,Zenith Inc,Retail,West,828418,517693,142381,310725,33668,134676,491799,454501,946300,151349,92067,243416,702884,125427,-37272,59184,147339
22-01-2024,2024,Q1,January,Prime Pvt,IT,South,185475,84332,32087,101143,13811,55245,284531,232693,517224,240287,170411,410698,106526,41994,-28726,49241,62509
16-08-2025,2025,Q3,August,Alpha Corp,Healthcare,North,159286,67144,18994,92142,14629,58519,433598,296334,729932,101989,98090,200079,529853,69919,-78069,24882,16732
25-05-2025,2025,Q2,May,Nova Ltd,Retail,South,784466,533649,102881,250817,29587,118349,491790,591713,1083503,156915,179574,336489,747014,137690,-35270,65184,167604
15-11-2025,2025,Q4,November,Vertex Ltd,IT,East,552206,310767,62786,241439,35730,142923,201851,806634,1008485,202168,225224,427392,581093,129117,-27894,-33690,67533
29-06-2024,2024,Q2,June,Vertex Ltd,Retail,West,162088,68230,27581,93858,13255,53022,118089,483188,601277,61872,85895,147767,453510,44336,-11377,59650,92609
19-01-2024,2024,Q1,January,Alpha Corp,IT,West,745920,366643,119669,379277,51921,207687,436212,749923,1186135,139408,98037,237445,948690,192515,-61307,-11380,119828
06-10-2024,2024,Q4,October,Zenith Inc,Retail,South,271083,120160,27127,150923,24759,99037,386175,791613,1177788,156854,205941,362795,814993,80021,-62674,57325,74672
10-04-2025,2025,Q2,April,Alpha Corp,IT,North,308604,189422,54028,119182,13030,52124,325854,866912,1192766,77394,138353,215747,977019,62715,-31171,-43175,-11631
16-05-2024,2024,Q2,May,Nova Ltd,IT,South,752649,328811,125756,423838,59616,238466,227463,809975,1037438,236596,243654,480250,557188,235384,-39314,-22509,173561
11-05-2025,2025,Q2,May,Zenith Inc,Healthcare,South,303914,205446,52725,98468,9148,36595,472809,659435,1132244,172345,258008,430353,701891,47534,-85127,-16417,-54010
04-01-2024,2024,Q1,January,Vertex Ltd,IT,South,802699,540346,113891,262353,29692,118770,400919,335810,736729,85619,262438,348057,388672,135017,-10067,-48509,76441
20-11-2024,2024,Q4,November,Alpha Corp,Healthcare,North,898327,467947,153757,430380,55324,221299,361684,881756,1243440,190449,73154,263603,979837,224562,-69731,76989,231820
17-03-2024,2024,Q1,March,Vertex Ltd,IT,West,440514,197142,62360,243372,36202,144810,359185,782869,1142054,135819,232625,368444,773610,139085,-31391,62033,169727
17-07-2024,2024,Q3,July,Nova Ltd,Retail,East,524707,269180,63412,255527,38423,153692,192496,723308,915804,78000,267239,345239,570565,140009,-49359,19979,110629
11-05-2024,2024,Q2,May,Vertex Ltd,Healthcare,North,256188,165129,50052,91059,8201,32806,132299,875768,1008067,236456,228418,464874,543193,24029,-34732,-23445,-34148
11-12-2024,2024,Q4,December,Zenith Inc,Retail,East,786557,319436,126771,467121,68070,272280,190242,744920,935162,136618,272894,409512,525650,253881,-31418,-47250,175213
31-08-2024,2024,Q3,August,Alpha Corp,Healthcare,East,485949,207204,55665,278745,44616,178464,195550,281217,476767,154577,146120,300697,176070,187624,-76886,-10335,100403
16-07-2025,2025,Q3,July,Vertex Ltd,Retail,West,520879,239439,91114,281440,38065,152261,337137,297848,634985,55919,177973,233892,401093,166316,-78671,-45911,41734
02-02-2025,2025,Q1,February,Zenith Inc,Healthcare,North,512445,320745,101992,191700,17941,71767,428262,659259,1087521,208111,284854,492965,594556,76318,-72446,61850,65722
06-11-2025,2025,Q4,November,Zenith Inc,Finance,West,129835,89195,14902,40640,5147,20591,438906,206194,645100,58771,79293,138064,507036,27666,-97374,47869,-21839
23-12-2024,2024,Q4,December,Vertex Ltd,Healthcare,West,688368,414833,124046,273535,29897,119592,372466,594775,967241,90274,262659,352933,614308,107856,-74415,43073,76514
04-06-2025,2025,Q2,June,Prime Pvt,Finance,South,999637,468305,101511,531332,85964,343857,416506,704450,1120956,75150,59581,134731,986225,355481,-96369,-16268,242844
23-03-2025,2025,Q1,March,Nova Ltd,IT,South,861889,382983,114889,478906,72803,291214,276413,510106,786519,163878,156574,320452,466067,286980,-36277,56640,307343
10-03-2025,2025,Q1,March,Prime Pvt,Finance,North,332882,205087,65741,127795,12410,49644,210298,533917,744215,160266,209828,370094,374121,30946,-85199,20107,-34146
20-01-2025,2025,Q1,January,Nova Ltd,Retail,East,212268,144251,22988,68017,9005,36024,284201,730845,1015046,65905,179303,245208,769838,17525,-89752,-23994,-96221
28-09-2025,2025,Q3,September,Prime Pvt,Healthcare,South,904039,624707,164072,279332,23052,92208,357361,822213,1179574,179203,163317,342520,837054,99734,-65020,34288,69002
11-09-2025,2025,Q3,September,Alpha Corp,Healthcare,North,227352,156762,43125,70590,5493,21972,476025,488102,964127,140434,236199,376633,587494,41554,-62510,32049,11093
11-12-2024,2024,Q4,December,Alpha Corp,Retail,South,727860,443086,98043,284774,37346,149385,404239,598159,1002398,117651,147227,264878,737520,148727,-98534,-25668,24525
08-04-2024,2024,Q2,April,Vertex Ltd,Retail,East,412732,235901,81943,176831,18977,75911,145607,385056,530663,244206,172438,416644,114019,66705,-62537,49499,53667
12-08-2024,2024,Q3,August,Zenith Inc,Healthcare,East,968198,418101,192166,550097,71586,286345,217347,723434,940781,208082,61248,269330,671451,293892,-54020,48695,288567
03-02-2024,2024,Q1,February,Alpha Corp,Healthcare,East,517562,217950,70396,299612,45843,183373,447636,297076,744712,166822,259168,425990,318722,201443,-17415,-17064,166964
05-04-2024,2024,Q2,April,Zenith Inc,IT,North,576289,288945,107366,287344,35995,143983,403136,243939,647075,221069,166771,387840,259235,140122,-15207,28795,153710
16-07-2024,2024,Q3,July,Zenith Inc,IT,East,486328,337266,61429,149062,17526,70107,113655,852393,966048,226126,288253,514379,451669,51724,-35211,70070,86583
04-10-2024,2024,Q4,October,Prime Pvt,IT,South,704278,380199,71026,324079,50610,202443,407369,443532,850901,101648,109744,211392,639509,206600,-37310,32242,201532
01-09-2025,2025,Q3,September,Zenith Inc,Retail,North,548095,350600,67937,197495,25911,103647,470503,220152,690655,206579,266170,472749,217906,114188,-17420,40950,137718
16-02-2024,2024,Q1,February,Prime Pvt,Retail,East,885376,516608,149235,368768,43906,175627,222830,698092,920922,119918,130025,249943,670979,190956,-53129,39091,176918
11-11-2025,2025,Q4,November,Prime Pvt,Retail,South,814328,371341,105644,442987,67468,269875,332674,753632,1086306,206182,280336,486518,599788,264446,-71847,-21406,171193
04-03-2025,2025,Q1,March,Prime Pvt,Finance,North,509553,235777,89287,273776,36897,147592,258293,850064,1108357,249814,247898,497712,610645,129746,-80583,-18477,30686
02-10-2025,2025,Q4,October,Alpha Corp,Healthcare,North,329150,227309,41047,101841,12158,48636,101626,762751,864377,190089,200942,391031,473346,40687,-57319,42892,26260
25-09-2025,2025,Q3,September,Alpha Corp,Finance,North,931834,554493,148966,377341,45675,182700,287591,653776,941367,78929,284807,363736,577631,201533,-57196,75214,219551
09-07-2024,2024,Q3,July,Zenith Inc,IT,West,545693,370902,98064,174791,15345,61382,126770,520698,647468,228427,59645,288072,359396,79748,-62781,29631,46598
15-03-2024,2024,Q1,March,Prime Pvt,Finance,West,490539,265284,93025,225255,26446,105784,469691,809855,1279546,57606,69998,127604,1151942,99064,-32460,-46509,20095
06-09-2025,2025,Q3,September,Prime Pvt,Finance,North,793589,433923,119296,359666,48074,192296,386604,805564,1192168,149511,59797,209308,982860,210919,-96325,40011,154605
17-03-2024,2024,Q1,March,Alpha Corp,Retail,North,443205,212983,54413,230222,35161,140648,360301,749770,1110071,52880,139738,192618,917453,150645,-44073,5293,111865
03-12-2024,2024,Q4,December,Vertex Ltd,IT,South,956222,521883,119053,434339,63057,252229,476188,875802,1351990,53966,268799,322765,1029225,260219,-54193,-8758,197268
13-07-2024,2024,Q3,July,Prime Pvt,IT,West,371054,219886,40060,151168,22221,88887,265247,256496,521743,77107,119917,197024,324719,91418,-33553,78739,136604
29-04-2024,2024,Q2,April,Prime Pvt,Healthcare,West,390640,210820,48706,179820,26222,104892,110354,302110,412464,88033,54396,142429,270035,119156,-33146,74891,160901
09-07-2025,2025,Q3,July,Prime Pvt,Retail,North,574403,308746,111641,265657,30803,123213,133912,718673,852585,197665,284533,482198,370387,116241,-91854,-36236,-11849
11-07-2024,2024,Q3,July,Prime Pvt,Retail,West,913785,538367,153771,375418,44329,177318,295669,279452,575121,182527,271736,454263,120858,163857,-52031,-28199,83627
14-01-2024,2024,Q1,January,Alpha Corp,Finance,West,965805,628535,119701,337270,43513,174056,107604,724772,832376,240111,179073,419184,413192,183851,-83761,10982,111072
12-02-2024,2024,Q1,February,Vertex Ltd,IT,South,947508,604415,114256,343093,45767,183070,244905,317598,562503,212055,295515,507570,54933,172345,-79316,53345,146374
21-02-2024,2024,Q1,February,Vertex Ltd,IT,South,221741,115789,27950,105952,15600,62402,162774,278576,441350,120664,236743,357407,83943,70567,-60045,73973,84495
09-04-2024,2024,Q2,April,Nova Ltd,IT,East,114650,70877,21049,43773,4544,18180,373399,330371,703770,80711,251233,331944,371826,9827,-95502,31962,-53713
20-11-2024,2024,Q4,November,Zenith Inc,Healthcare,North,873131,573974,127596,299157,34312,137249,175754,656958,832712,120953,216652,337605,495107,120061,-81900,9921,48082
22-02-2025,2025,Q1,February,Alpha Corp,Finance,South,395629,237938,73064,157691,16925,67702,230411,716034,946445,82301,76775,159076,787369,59374,-13505,-11232,34637
02-09-2024,2024,Q3,September,Prime Pvt,IT,East,429287,189440,83474,239847,31274,125099,123940,222365,346305,128631,298063,426694,-80389,141994,-50007,41115,133102
13-07-2025,2025,Q3,July,Alpha Corp,Finance,West,958991,602641,186894,356350,33891,135565,383655,245622,629277,77518,172729,250247,379030,118780,-18733,-8735,91312
10-04-2024,2024,Q2,April,Prime Pvt,Finance,North,181269,93272,36057,87997,10388,41552,483240,839208,1322448,52197,141505,193702,1128746,53937,-70737,-4890,-21690
19-05-2025,2025,Q2,May,Alpha Corp,Finance,South,361068,157726,65824,203342,27503,110015,397268,506056,903324,182329,149818,332147,571177,105477,-71536,-4724,29217
01-09-2024,2024,Q3,September,Vertex Ltd,Retail,East,392191,201300,70586,190891,24061,96244,321666,218149,539815,80893,182433,263326,276489,102115,-39510,-18315,44290
29-04-2025,2025,Q2,April,Vertex Ltd,IT,South,925315,597936,113133,327379,42849,171397,160192,388338,548530,67899,75082,142981,405549,184416,-90861,-45051,48504
28-03-2025,2025,Q1,March,Vertex Ltd,Healthcare,North,922458,585817,105877,336641,46152,184612,300609,272584,573193,92414,93145,185559,387634,169690,-22137,61121,208674
27-10-2024,2024,Q4,October,Prime Pvt,Retail,North,431965,297338,68000,134627,13325,53302,423643,704196,1127839,50782,112826,163608,964231,69049,-73204,75714,71559
28-04-2025,2025,Q2,April,Alpha Corp,Finance,South,577830,320084,86312,257746,34286,137148,356325,318977,675302,106953,69097,176050,499252,121233,-31970,3476,92739
16-08-2025,2025,Q3,August,Alpha Corp,IT,East,342818,148906,34676,193912,31847,127389,275275,876314,1151589,170524,65951,236475,915114,128718,-78262,51419,101875
07-07-2025,2025,Q3,July,Nova Ltd,IT,South,570019,353641,65932,216378,30089,120357,267926,300941,568867,92788,114617,207405,361462,108386,-32168,-39997,36221
09-05-2024,2024,Q2,May,Prime Pvt,Finance,West,621586,255021,74948,366565,58323,233294,125382,704750,830132,237146,212574,449720,380412,251726,-92269,7657,167114
26-04-2025,2025,Q2,April,Alpha Corp,Finance,East,509453,246522,72025,262931,38181,152725,126919,664285,791204,224175,117563,341738,449466,163895,-69337,5426,99984
10-05-2024,2024,Q2,May,Vertex Ltd,Finance,North,300262,154905,49839,145357,19103,76415,395554,531993,927547,168961,248737,417698,509849,67259,-39781,-23973,3505
19-05-2025,2025,Q2,May,Zenith Inc,Finance,North,858963,543388,94740,315575,44167,176668,175804,362193,537997,227926,225477,453403,84594,163208,-27246,5069,141031
25-04-2024,2024,Q2,April,Prime Pvt,Finance,South,484223,248249,59608,235974,35273,141093,131539,714861,846400,226734,290891,517625,328775,159523,-44604,-26479,88440
10-04-2025,2025,Q2,April,Vertex Ltd,Healthcare,East,802676,539411,149903,263265,22672,90690,357289,371456,728745,169506,64071,233577,495168,103575,-85207,-30648,-12280
15-07-2025,2025,Q3,July,Zenith Inc,Healthcare,West,472401,273069,54455,199332,28975,115902,216956,831673,1048629,52056,118973,171029,877600,123293,-49021,52322,126594
22-07-2025,2025,Q3,July,Nova Ltd,IT,North,283406,196138,35850,87268,10283,41135,187330,764087,951417,96754,178595,275349,676068,56190,-14314,57059,98935
08-01-2025,2025,Q1,January,Alpha Corp,Finance,West,938640,558666,185376,379974,38919,155679,113201,819582,932783,148277,173277,321554,611229,155564,-91706,-9004,54854
12-06-2025,2025,Q2,June,Zenith Inc,Retail,West,918320,500024,177423,418296,48174,192699,204788,810090,1014878,209378,158986,368364,646514,179753,-16861,29942,192834
05-06-2025,2025,Q2,June,Nova Ltd,Finance,West,808652,366170,96186,442482,69259,277037,120817,898372,1019189,51500,149509,201009,818180,271058,-32721,45288,283625
04-06-2025,2025,Q2,June,Vertex Ltd,IT,North,753789,340526,125264,413263,57599,230400,245758,546204,791962,139985,166922,306907,485055,233372,-87865,-2801,142706
16-04-2024,2024,Q2,April,Nova Ltd,Healthcare,East,453715,252998,71199,200717,25903,103615,325377,444008,769385,67356,72237,139593,629792,94166,-88218,-9864,-3916
16-09-2024,2024,Q3,September,Alpha Corp,IT,West,198733,105901,22271,92832,14112,56449,394033,478833,872866,150953,158735,309688,563178,53335,-60918,57833,50250
29-07-2024,2024,Q3,July,Alpha Corp,Retail,West,113104,66745,21590,46359,4953,19816,251784,667110,918894,95010,272178,367188,551706,26971,-25859,57625,58737
28-07-2025,2025,Q3,July,Prime Pvt,Retail,East,191541,119812,34933,71729,7359,29437,443057,230572,673629,230594,58285,288879,384750,45450,-73452,-148,-28150
18-09-2024,2024,Q3,September,Alpha Corp,Retail,North,902141,421531,168887,480610,62344,249379,270803,421157,691960,148019,152778,300797,391163,263956,-56383,4361,211934
09-08-2025,2025,Q3,August,Prime Pvt,Healthcare,East,463512,187170,49969,276342,45274,181099,354386,810799,1165185,239985,54683,294668,870517,195373,-53724,-47894,93755
06-05-2024,2024,Q2,May,Nova Ltd,IT,East,447578,302121,66423,145457,15806,63228,420529,561363,981892,128395,178650,307045,674847,48688,-52097,24311,20902
12-04-2024,2024,Q2,April,Zenith Inc,IT,East,400793,169914,53247,230879,35526,142106,111157,831401,942558,202411,298695,501106,441452,137156,-99142,-16380,21634
10-01-2024,2024,Q1,January,Zenith Inc,Healthcare,North,521362,364539,95713,156823,12222,48888,453069,373159,826228,128500,105391,233891,592337,51416,-55198,3454,-328
27-03-2024,2024,Q1,March,Zenith Inc,Healthcare,North,110922,67026,11356,43896,6508,26032,277537,564492,842029,196200,93376,289576,552453,28746,-46264,-48306,-65824
09-03-2024,2024,Q1,March,Alpha Corp,IT,East,854643,433120,155050,421523,53294,213179,453576,581200,1034776,223268,160511,383779,650997,213920,-58367,77539,233092
12-10-2025,2025,Q4,October,Prime Pvt,Healthcare,South,740781,338565,95154,402216,61412,245650,209119,595013,804132,182290,56623,238913,565219,240866,-82299,57296,215863
26-11-2024,2024,Q4,November,Vertex Ltd,Finance,East,989755,542628,110375,447127,67350,269402,412502,225469,637971,223559,85561,309120,328851,253475,-77980,-49165,126330
23-09-2025,2025,Q3,September,Prime Pvt,IT,North,808639,334918,112344,473721,72275,289102,183905,395861,579766,169218,57633,226851,352915,276715,-28156,21078,269637
10-06-2025,2025,Q2,June,Zenith Inc,IT,East,168830,70362,30950,98468,13503,54015,366819,559412,926231,171212,269059,440271,485960,50483,-39135,38878,50226
28-04-2025,2025,Q2,April,Vertex Ltd,Finance,North,284437,122318,56140,162119,21195,84784,157865,337253,495118,180421,283853,464274,30844,85115,-14405,-5443,65267
05-04-2024,2024,Q2,April,Vertex Ltd,IT,South,319272,136908,32308,182364,30011,120045,282337,818978,1101315,164831,109452,274283,827032,104514,-89422,34712,49804
24-09-2024,2024,Q3,September,Prime Pvt,IT,East,103695,69262,17474,34433,3391,13568,394586,653600,1048186,169552,222673,392225,655961,5343,-86514,11436,-69735
08-06-2024,2024,Q2,June,Nova Ltd,Finance,South,891696,528018,165100,363678,39715,158863,456765,800578,1257343,211171,147101,358272,899071,145104,-64677,-8992,71435
26-08-2025,2025,Q3,August,Vertex Ltd,Healthcare,South,294541,158334,54659,136207,16309,65239,264988,418676,683664,213598,55197,268795,414869,50232,-10970,36925,76187
01-12-2025,2025,Q4,December,Vertex Ltd,IT,South,567280,340102,79370,227178,29561,118247,288708,793804,1082512,69765,219548,289313,793199,126047,-83279,17131,59899
02-07-2025,2025,Q3,July,Alpha Corp,Finance,North,557600,258430,85532,299170,42727,170911,256609,735529,992138,156260,103344,259604,732534,179104,-10712,-16260,152132
13-04-2024,2024,Q2,April,Vertex Ltd,Retail,East,818486,499905,107868,318581,42142,168571,257938,269588,527526,233877,59331,293208,234318,171655,-85144,77698,164209
17-10-2024,2024,Q4,October,Alpha Corp,Healthcare,South,919730,570152,180609,349578,33793,135176,232839,614774,847613,223731,73641,297372,550241,127868,-67363,24117,84622
06-09-2025,2025,Q3,September,Nova Ltd,Retail,East,525838,324293,101184,201545,20072,80289,116226,478673,594899,234350,268364,502714,92185,76396,-87842,-3058,-14504
08-03-2025,2025,Q1,March,Prime Pvt,IT,West,550762,360372,102617,190390,17554,70219,216092,810221,1026313,142938,199257,342195,684118,56617,-45069,7312,18860
11-07-2024,2024,Q3,July,Vertex Ltd,Healthcare,East,176596,71019,23104,105577,16494,65979,387773,859648,1247421,155343,86610,241953,1005468,82236,-52824,-18294,11118
29-03-2024,2024,Q1,March,Zenith Inc,Retail,West,265066,107427,41550,157639,23217,92872,355373,880292,1235665,123068,236372,359440,876225,109076,-75956,75808,108928
21-04-2024,2024,Q2,April,Prime Pvt,Healthcare,South,296797,183980,53919,112817,11779,47119,299682,252657,552339,241546,128133,369679,182660,30528,-21246,-49677,-40395
30-10-2024,2024,Q4,October,Nova Ltd,IT,East,679064,462886,97928,216178,23650,94600,120780,341996,462776,245083,109066,354149,108627,112968,-35912,75665,152721
29-08-2025,2025,Q3,August,Zenith Inc,Retail,North,387818,217304,44523,170514,25198,100793,394028,293835,687863,236537,290019,526556,161307,95364,-95263,-27789,-27688
26-03-2025,2025,Q1,March,Alpha Corp,Healthcare,South,207580,106411,36719,101169,12890,51560,179596,569682,749278,186363,151429,337792,411486,68207,-93376,6100,-19069
19-02-2024,2024,Q1,February,Prime Pvt,Healthcare,North,457615,236521,53125,221094,33593,134376,469843,778229,1248072,187543,205425,392968,855104,152066,-15988,-27499,108579
09-01-2025,2025,Q1,January,Zenith Inc,Healthcare,West,961872,599360,123524,362512,47797,191191,114185,604894,719079,225044,88547,313591,405488,181716,-34353,-9462,137901
20-10-2024,2024,Q4,October,Alpha Corp,IT,South,220268,125307,43778,94961,10236,40947,266432,273307,539739,215839,82914,298753,240986,55474,-71050,-22209,-37785
12-12-2024,2024,Q4,December,Zenith Inc,Healthcare,West,509133,292692,68557,216441,29576,118308,429678,679011,1108689,112302,276437,388739,719950,108309,-20274,-39420,48615
13-10-2025,2025,Q4,October,Nova Ltd,Healthcare,North,795269,555048,126460,240221,22752,91009,287133,607125,894258,248943,136841,385784,508474,72915,-83654,-11844,-22583
17-07-2024,2024,Q3,July,Alpha Corp,IT,North,535128,232400,56005,302728,49344,197379,321330,841942,1163272,76572,197543,274115,889157,214979,-49411,73237,238805
09-11-2025,2025,Q4,November,Prime Pvt,Healthcare,South,615476,384111,83436,231365,29585,118344,356077,871670,1227747,220727,70645,291372,936375,137302,-67477,41368,111193
09-07-2025,2025,Q3,July,Vertex Ltd,Healthcare,East,827303,397151,112830,430152,63464,253858,315706,807338,1123044,102975,202845,305820,817224,265708,-91277,42687,217118
27-03-2025,2025,Q1,March,Vertex Ltd,IT,North,761725,445541,103903,316184,42456,169825,246265,482830,729095,215650,55362,271012,458083,183521,-55372,53506,181655
19-01-2025,2025,Q1,January,Vertex Ltd,Retail,West,689707,402068,121400,287639,33247,132992,267646,672948,940594,182508,171860,354368,586226,120564,-38391,-42273,39900
08-04-2025,2025,Q2,April,Vertex Ltd,Retail,South,887760,395924,149086,491836,68550,274200,402877,671295,1074172,206319,251348,457667,616505,271367,-81928,-6746,182693
14-07-2024,2024,Q3,July,Zenith Inc,Healthcare,West,712284,307258,77600,405026,65485,261941,395384,482401,877785,199922,69514,269436,608349,268188,-28520,-37654,202014
10-03-2024,2024,Q1,March,Vertex Ltd,Retail,East,243884,139230,27836,104654,15363,61455,297697,463605,761302,86282,178544,264826,496476,72008,-21549,30743,81202
25-05-2025,2025,Q2,May,Alpha Corp,Retail,East,479470,269930,85075,209540,24893,99572,306815,671492,978307,149092,52391,201483,776824,82065,-54899,61249,88415
06-08-2024,2024,Q3,August,Prime Pvt,Healthcare,North,977068,569029,157054,408039,50197,200788,435669,338572,774241,224142,276899,501041,273200,186047,-65153,78770,199664
02-10-2024,2024,Q4,October,Alpha Corp,Finance,North,397563,168311,66926,229252,32465,129861,390864,622831,1013695,224370,71909,296279,717416,117343,-14839,-20038,82466
16-07-2025,2025,Q3,July,Prime Pvt,IT,North,835222,451512,153228,383710,46096,184386,353275,298687,651962,209729,82554,292283,359679,179026,-56749,74601,196878
19-03-2024,2024,Q1,March,Alpha Corp,IT,South,156264,94367,25021,61897,7375,29501,205382,682981,888363,223802,230399,454201,434162,34811,-84741,-20708,-70638
13-01-2025,2025,Q1,January,Alpha Corp,Retail,East,582261,395673,75707,186588,22176,88705,158207,374479,532686,121395,243917,365312,167374,98343,-83483,24241,39101
16-07-2025,2025,Q3,July,Alpha Corp,IT,North,349452,226647,46914,122805,15178,60713,493724,526948,1020672,144627,65835,210462,810210,59447,-37750,38610,60307
25-08-2024,2024,Q3,August,Zenith Inc,IT,East,601243,258865,94492,342378,49577,198309,497234,578575,1075809,219945,59883,279828,795981,209334,-72643,67528,204219
10-10-2024,2024,Q4,October,Nova Ltd,Retail,East,936759,479948,156076,456811,60147,240588,394075,706350,1100425,192005,207945,399950,700475,222682,-79228,-49368,94086
27-04-2024,2024,Q2,April,Nova Ltd,IT,West,471371,263131,85687,208240,24510,98043,187825,851161,1038986,237368,258923,496291,542695,97409,-60165,-21468,15776
28-06-2025,2025,Q2,June,Nova Ltd,IT,North,159266,76638,28490,82628,10827,43311,353685,621227,974912,63353,223999,287352,687560,62059,-23745,55708,94022
04-09-2024,2024,Q3,September,Vertex Ltd,Healthcare,South,273713,175188,44255,98525,10854,43416,469968,735677,1205645,225810,124393,350203,855442,51240,-48131,35117,38226
05-10-2024,2024,Q4,October,Zenith Inc,Healthcare,South,561050,234508,86057,326542,48097,192388,273882,788797,1062679,125188,213118,338306,724373,204713,-28015,19231,195929
